D1,D2,D3,D4,x,y
0.124952,0.125008,0.12502,0.125009,0,0
0.159999,0.159946,0.097584,0.097578,0.5,0.5
0.216112,0.150971,0.079229,0.094126,0.25,0.75
0.319775,0.109615,0.066126,0.109587,0.75,0.75
0.163237,0.123082,0.098759,0.123084,0.25,0.25
0.216043,0.094137,0.079222,0.150938,0.75,0.25
0.117654,0.222223,0.117652,0.080009,-0.5,0.5
0.109615,0.319902,0.109603,0.066132,-0.75,0.75
0.150921,0.216283,0.094132,0.079204,-0.25,0.75
0.109622,0.319963,0.109588,0.066126,-0.75,0.25
0.123056,0.163306,0.123084,0.098759,-0.25,0.25
0.079989,0.117664,0.222208,0.117652,-0.5,-0.5
0.0792,0.150913,0.216241,0.094145,-0.75,-0.25
0.098727,0.123101,0.1633,0.123066,-0.25,-0.25
0.079192,0.094138,0.216201,0.150938,-0.75,-0.75
0.079182,0.094123,0.216236,0.150955,-0.25,-0.75
0.11757,0.080009,0.117669,0.222224,0.5,-0.5
0.123021,0.098749,0.123079,0.163328,0.25,-0.25
0.150825,0.079222,0.094137,0.216203,0.75,-0.25
0.094084,0.079213,0.150931,0.216246,0.25,-0.75
0.109509,0.066126,0.109614,0.319965,0.75,-0.75
0.080866,0.126625,0.217429,0.110319,-0.558307,-0.412259
